Motorname,Stall Torque [Nm],Nominal Power [W],Nominal Torque  [Nm],Nominal speed [rpm],Peak torque 20C [Nm],Current at nominal power [Arms],Stall current [Arms],Peak current [Arms],Inertia [kgcm2],Voltage costant at 20�C [Vs/rad],Torque costant at 20�C and 0 rpm [Nm/Arms],Derating Temp. Coeff. Of Back EMF [%/�C],Winding Resistance at 20�C [Ohm],Winding Inductance 2[mH],bemf. at 1000 rpm a 20�C [V/krpm],Nominal voltage [Vrms],Weight [kg],Pole pairs
071154,6,880,5.6,1500,13,1.9,1.9,4.5,5.23,1.90,3.19,-0.11,23.58,88.3,199,345,9.5,4
072154,12,1602,10.2,1500,26,3.4,3.7,8.6,8.52,1.94,3.26,-0.11,8.02,50.2,203,330,11.9,4
073154,18,2592,16.5,1500,38,5.3,5.5,12.1,11.82,2.00,3.36,-0.11,4.635,32.3,210,336,14.2,4
074154,22,3220,20.5,1500,48,6.4,6.6,14.9,15.10,2.08,3.49,-0.11,3.4,26.4,218,343,16.6,4
075154,26,3770,24.0,1500,63,7.8,8.0,20.3,18.40,1.99,3.35,-0.11,2.34,18.76,209,323,18.9,4
076154,30,4320,27.5,1500,74,8.8,9.2,23.6,21.69,2.03,3.41,-0.11,1.93,15.5,212,326,21.3,4
077154,34,4791,30.5,1500,88,9.9,10.7,28.2,24.98,2.00,3.36,-0.11,1.59,13.3,210,320,23.6,4
078154,39,5262,33.5,1500,100,10.8,12.0,32.0,28.27,2.01,3.38,-0.11,1.37,10.7,210,318,26,4
082104,33,3299,31.5,1000,88,6.7,6.7,18.4,49.00,2.99,5.03,0.89,4.86,47.8,314,351,30,4
084104,60,5864,56.0,1000,165,13.1,13.6,37.9,89.00,2.72,4.57,2.89,1.34,19.8,285,302,43,4
086104,82,7540,72.0,1000,239,15.3,17.0,49.9,128.00,2.99,5.03,4.89,0.9,15.9,314,321,54,4
088104,102,9425,90.0,1000,290,19.7,21.7,62.4,167.00,2.90,4.88,-0.11,0.62,11.2,304,308,68,4
092104,100,9739,93.0,1000,168,21.6,21.6,38.3,224.00,2.92,4.91,-0.11,0.636,13.21,306,319,75,4
092104,153,14870,142.0,1000,168,33.0,33.0,38.3,224.00,2.92,4.91,-0.11,0.636,13.21,306,348,75,4
